ID,Provider_1,ProvID_1,Provider_2,ProvID_2,Stationnam,RiverName,RiverBasin,Country,CountryNam,Continent,HydroRegio,DrainArPro,DrainArLDD,YProvided,XProvided,YCorrected,XCorrected,ToCalibrat,ValidGLOFA,Legend_for,Comments,StartDate,EndDate,AddedDate,Lake,Reservoir,Lastupdate,CalibYear
G0001,GRDC,2903430,NA,NA,Stolb,Lena,Lena,RU,Russian Federation,Asia,512,2460000,2443690,72.37,126.8,72.25,126.75,1,1,,,1/1/1951,12/31/2002,,0,0,,2017
G0002,GRDC,2999910,NA,NA,7 5Km D S Of Mouth Of River Pur,Olenek,Olenek,RU,Russian Federation,Asia,512,198000,218622,72.12,123.22,72.15,123.35,1,1,,,1/1/1953,12/31/2011,,0,0,,2017
G0003,GRDC,2999150,NA,NA,Saskylakh,Anabar,Anabar,RU,Russian Federation,Asia,512,78800,86783,71.98,114.057,71.95,114.05,1,1,,,6/1/1954,11/22/2011,,0,0,,2017
G0004,GRDC,2999850,NA,NA,Khatanga,Khatanga,Khatanga,RU,Russian Federation,Asia,512,275000,285113,71.98,102.45,71.95,102.15,1,1,,,6/7/1971,9/30/1991,,0,0,,0
G0005,GRDC,2998110,NA,NA,Ubileynaya,Yana,Yana,RU,Russian Federation,Asia,512,224000,239824,70.75,136.08,70.75,136.05,1,1,,,1/1/1972,12/31/2007,,0,0,,2017
G0006,GRDC,2903420,NA,NA,Kyusyur Kusur,Lena,Lena,RU,Russian Federation,Asia,512,2430000,2422810,70.7,127.65,70.85,127.55,1,1,,,1/1/1935,12/31/2011,,0,0,,2017
G0007,GRDC,6730501,NA,NA,Polmak Nye,Tana,Tana,NO,Norway,Europe,31,14161,14107,70.0703,28.0162,69.45,25.75,1,1,,,1/1/1914,12/31/2007,,0,0,,2017
G0008,GRDC,6730500,NA,NA,Polmak,Tana,Tana,NO,Norway,Europe,31,14165,24980,70.07,28.05,70.05,27.95,1,0,,[NV] Duplicate,1/1/1914,11/15/2000,,0,0,,0
G0009,GRDC,6830510,NA,NA,Utsjoki,Tana,Tana,FI,Finland,Europe,31,1520,13681,69.92,27.02,69.45,25.15,1,1,,River Updated 201506,1/1/1959,12/31/2013,,0,0,,2017
G0010,GRDC,6830511,NA,NA,Onnelansuvanto,Tana,Tana,FI,Finland,Europe,31,10864,10852,69.92,27.02,69.45,24.95,1,1,,,1/1/1959,12/31/2013,,0,0,,2017
G0011,GRDC,2998400,NA,NA,Vorontsovo,Indigirka,Indigirka,RU,Russian Federation,Asia,512,305000,306379,69.58,147.35,68.55,147.05,1,1,,,1/1/1950,10/2/1996,,0,0,,0
G0012,GRDC,2998150,NA,NA,Namu,Omoloy,Omoloy,RU,Russian Federation,Asia,512,10800,10674,69.51,132.07,69.45,132.25,1,1,,,5/12/1979,12/31/1993,,0,0,,0
G0013,GRDC,4101501,NA,NA,Umiat Ak,Colville,Colville,US,United States,North_America,11,35820,35874,69.36,-152.12,69.15,-153.15,1,1,,,8/21/2002,3/6/2017,,0,0,2/1/2018,2017
G0014,GRDC,2998450,NA,NA,Andrushkino,Alazeya,Alazeya,RU,Russian Federation,Asia,512,29000,28085,69.17,154.5,69.25,154.75,1,1,,,1/1/1978,12/31/1993,,0,0,,0
G0015,GRDC,6830100,NA,NA,Lake Inari Outlet,Paatsjoki,Na,FI,Finland,Europe,31,14575,2810,68.9,27.15,69.05,27.15,1,1,,,1/1/1949,12/31/2013,,0,0,,2017
G0016,GRDC,2998510,NA,NA,Kolymskaya,Kolyma,Kolyma,RU,Russian Federation,Asia,512,526000,570460,68.73,158.72,68.75,158.75,1,1,,,1/1/1978,12/31/2008,,0,0,,2017
G0017,GRDC,4209150,NA,NA,Below Carnwath River,Anderson,Anderson,CA,Canada,North_America,11,56300,63636,68.6322,-128.4133,68.45,-128.85,1,1,,,9/28/1969,7/20/2013,,0,0,,2017
G0018,GRDC,2999920,NA,NA,Sukhana,Olenek,Olenek,RU,Russian Federation,Asia,512,127000,127062,68.62,118.33,67.75,116.35,1,1,,,1/1/1940,12/31/1994,,0,0,,0
G0019,GRDC,6971130,NA,NA,Verkhnetulomskiy Ges,Tuloma,Tuloma,RU,Russian Federation,Europe,31,17500,18192,68.6069,31.7975,68.55,31.75,1,1,,,1/1/1935,12/31/2011,,453,0,,2017
G0020,GRDC,2998451,NA,NA,Argahtah,Alazeya,Alazeya,RU,Russian Federation,Asia,512,17700,16293,68.5,153.42,68.45,153.35,1,1,,,5/28/1962,12/31/2003,,0,0,,2017
G0021,GRDC,4209155,NA,NA,Below Andrew River,Carnwath,Anderson,CA,Canada,North_America,11,21500,20588,68.3936,-128.9497,68.35,-129.05,1,1,,,6/22/1982,12/31/1994,,0,0,,0
G0022,GRDC,4208020,NA,NA,Inuvik East Channel,Mackenzie,Mackenzie,CA,Canada,North_America,11,-9999,1843,68.3744,-133.7647,68.15,-133.75,1,1,,[ZZ] ldd issue: the station is in wrong location_ should be on the East channel of the Mackenzie river but this channel is not in ldd_ right now it is on the wrong drain(too small) to deal with this we move it to the main channel but probably we will ove,5/16/1972,12/31/2015,,0,0,2/1/2018,0
G0023,GRDC,2998720,NA,NA,Konstantinovo,Bol. Anyuy,Kolyma,RU,Russian Federation,Asia,512,49600,52084,68.15,161.17,68.15,161.15,1,1,,,1/1/1978,12/31/2011,,0,0,,2017
G0024,GRDC,2998702,NA,NA,Ostrovnoje,Anyuy,Kolyma,RU,Russian Federation,Asia,512,30000,32418,68.1,164.17,68.15,164.15,1,1,,,5/31/1960,12/31/1997,,0,0,,0
G0025,GRDC,4209402,NA,NA,Above Bloody Falls,Coppermine,Coppermine,CA,Canada,North_America,11,50700,45051,67.74,-115.37,67.75,-115.15,1,0,,same as G0037,7/19/1983,12/31/1986,,0,0,,0
G0026,GRDC,4209600,NA,NA,Near The Mouth,Ellice,Na,CA,Canada,North_America,11,16900,16824,67.7083,-104.1403,67.55,-105.55,1,1,,,6/6/1971,9/25/2015,,0,0,2/1/2018,2017
G0027,GRDC,4203060,NA,NA,Near The Mouth,Old Crow,Yukon,CA,Canada,North_America,11,13900,8603,67.6344,-139.6964,67.65,-139.75,1,1,,,6/6/1976,12/31/2015,,0,0,2/1/2018,2017
G0028,GRDC,6970700,NA,NA,Oksino,Pechora,Pechora,RU,Russian Federation,Europe,31,312000,325932,67.6,52.2,67.55,52.25,1,1,,,5/27/1980,12/31/2010,,0,0,,2017
G0029,GRDC,4203050,NA,NA,Old Crow,Porcupine,Yukon,CA,Canada,North_America,11,55400,57982,67.5639,-139.8833,67.55,-139.85,1,1,,,6/1/1961,12/31/1995,,0,0,,0
G0030,GRDC,4209850,NA,NA,Above Chantrey Inlet,Hayes,Hayes,CA,Canada,North_America,11,18100,18751,67.525,-94.0583,67.35,-93.65,1,1,,,7/11/1971,12/31/1992,,0,0,,0
G0031,GRDC,2909150,NA,NA,Igarka,Yenisey,Yenisei,RU,Russian Federation,Asia,511,2440000,2651150,67.48,86.5,67.45,86.45,1,1,,,1/1/1955,12/31/2011,,0,0,,2017
G0032,GRDC,4208025,NA,NA,Arctic Red River,Mackenzie,Mackenzie,CA,Canada,North_America,11,1660000,1726490,67.4583,-133.7447,67.45,-133.65,1,1,,,3/21/1972,12/31/2015,,0,0,2/1/2018,2017
G0033,GRDC,4203051,NA,NA,Below Bell River,Porcupine,Yukon,CA,Canada,North_America,11,36000,37346,67.4403,-137.7836,67.35,-137.85,1,1,,,1/18/1964,12/31/1995,,0,0,,0
G0034,GRDC,4103710,NA,NA,Near International Boundary Yt,Porcupine,Yukon,US,United States,North_America,11,59829,62559,67.4239,-140.8938,67.45,-140.85,1,1,,,10/1/1987,9/30/2009,,0,0,,2017
G0035,GRDC,2998500,NA,NA,Sredne Kolymsk,Kolyma,Kolyma,RU,Russian Federation,Asia,512,361000,392174,67.37,153.67,67.25,153.65,1,1,,,6/3/1927,12/31/2002,,0,0,,2017
G0036,GRDC,4208040,NA,NA,Above Fort Mcpherson,Peel,Mackenzie,CA,Canada,North_America,11,70600,69434,67.2489,-134.8831,66.85,-134.85,1,1,,,9/30/1969,12/31/2015,,0,0,2/1/2018,2017
G0037,GRDC,4209401,NA,NA,Above Copper Creek,Coppermine,Coppermine,CA,Canada,North_America,11,46800,45051,67.2289,-115.8869,67.75,-115.15,1,1,,same as G0025,1/1/1987,10/14/2015,,0,0,2/1/2018,2017
G0038,GRDC,6233901,NA,NA,Kallio 2,Muonioaelven Muonionjoki,Muonio,SE,Sweden,Europe,31,14477,14228,67.22,23.54,67.25,23.55,1,1,,,1/1/1914,10/23/2013,,0,0,,2017
G0039,GRDC,6971451,NA,NA,Kanevka,Ponoy,Ponoy,RU,Russian Federation,Europe,31,10200,4122,67.1333,39.6667,67.15,39.65,1,1,,,1/1/1954,12/31/2004,,0,0,,2017
G0040,GRDC,2999500,NA,NA,Samburg,Pur,Pur,RU,Russian Federation,Asia,511,95100,94633,67,78.22,66.55,78.05,1,1,,,1/1/1939,12/31/1991,,0,0,,0
G0041,GRDC,4101900,NA,NA,Near Kiana Alas,Kobuk,Kobuk,US,United States,North_America,11,24657,25181,66.973,-160.1336,67.05,-159.75,1,1,,,9/1/1976,3/30/2017,,0,0,2/1/2018,2017
G0042,GRDC,4208065,NA,NA,Near The Mouth,Arctic Red,Mackenzie,CA,Canada,North_America,11,18600,18214,66.79,-133.0817,66.65,-133.15,1,1,,,8/30/1968,12/31/2015,,0,0,2/1/2018,2017
G0043,GRDC,6854710,NA,NA,Marraskoski Iisinki,Ounasjoki _ Kellosuvanto,Kemijoki,FI,Finland,Europe,31,12303,3533,66.78,25.42,66.65,25.55,1,1,,,1/1/1971,12/31/2013,,0,0,,2017
G0044,GRDC,6972860,NA,NA,Knyazhegubskoye Ges,Kovda,Kovda,RU,Russian Federation,Europe,31,25900,11412,66.77,32.34,66.75,32.35,1,1,,,1/1/1957,12/31/2006,,0,577,,2017
G0045,GRDC,4209550,NA,NA,Near The Mouth,Burnside,Na,CA,Canada,North_America,11,16800,12258,66.7333,-108.8022,66.85,-108.15,1,1,,,8/26/1976,12/31/2016,,0,0,2/1/2018,2017
G0046,GRDC,2999250,NA,NA,Sidorovsk,Taz,Taz,RU,Russian Federation,Asia,511,100000,134688,66.6,82.28,66.65,82.25,1,1,,,1/1/1962,12/31/1996,,0,0,,0
G0047,GRDC,2912600,NA,NA,Salekhard,Ob,Ob,RU,Russian Federation,Asia,511,2949998,2541170,66.57,66.53,66.55,66.45,1,1,,,1/1/1954,12/31/2010,,0,0,,2017
G0048,GRDC,6854701,NA,NA,Seitakorva,Kemijoki,Kemijoki,FI,Finland,Europe,31,27424,32158,66.47,27.35,66.45,27.35,1,1,,,5/15/1963,12/31/2013,,0,148,,2017
